mpid,e_form (eV/atom),composition
mp-1218741,-2.9853057307500017,Fe1Nb1O6Sr2
mp-1218801,-2.9990155967857137,La2Mg1O8Ru1Sr2
mp-1219366,-2.9839808599662168,C1O24Si12
mp-1219577,-2.988338480871649,O6Rb1Ta2
mp-1219659,-2.9878978958210176,O20P4Rb3Ti4Tl1
mp-1220811,-2.9868116220238097,Na1Nb1O12P3Zr1
mp-1221316,-2.9919356798214287,Na2Nb4O13Sr2
mp-1221399,-2.98523742375,Al1Fe1Na2O12Si4
mp-1222928,-2.994766671692,La1Mn2Nd1O6
mp-1222962,-2.9876849225669995,La1Mn4Nd3O12
mp-1222969,-2.9984066949419983,Ce1La1Mn2O6
mp-1222975,-2.9862407119419987,La1Mn2O6Pr1
mp-1223526,-2.9819891810732595,B1Ba1K1O8P2
mp-1223564,-2.9892153418290914,Al1H2K1Mg3O12Si3
mp-12236,-2.9971943092500006,Er3Ga5O12
mp-1223973,-2.9984382060673025,K7O48P12Ti8
mp-1224186,-2.9886734052499997,Fe1Ho2O6V1
mp-1224682,-2.98155175034091,Ga1Gd2O7Sb1
mp-1224963,-2.9837779689624053,K2O12P2Sc2W1
mp-1225084,-2.9852496892255638,K2Mo1O12P2Sc2
mp-1225428,-2.9846677837500004,Dy2Fe1O6V1
mp-1226968,-2.983331678125001,Ca1O8V2Zr1
mp-1227068,-2.9891382360714287,Ca1Fe1La1O4
mp-1227202,-2.986013844527028,Al4Ca1O24Si8
mp-1227369,-2.9854807825000007,Ba1O6Re1Sr1Yb1
mp-1227760,-2.9925141905681825,Ca2Dy3O14Sb3
mp-1227924,-2.9918946823305266,Ba1F12Fe4Na2
mp-1228114,-2.997063729000001,Ba3O12Re2Sr1Yb2
mp-1228181,-2.9958193503418062,B5Ba3Be2H1O13
mp-1228358,-2.981815969512668,Ba2Mn1O6Ti1
mp-1228397,-2.9857187931944438,Ba3In2O9U1
mp-1228515,-2.9870518989375,Ba8Ca1O24Sr3W4
mp-1228970,-2.9985923037499997,Al8Co1O16Zn3
mp-14760,-2.9953731162500006,Al3Lu1O8Pb2
mp-15575,-2.993622674875,Ga5Ho3O12
mp-15576,-2.9889358682500005,Dy3Ga5O12
mp-15748,-2.9912071678125005,Cu1O7Si2Sr2
mp-17114,-2.9925528303409084,Nd2O7Sn2
mp-17187,-2.988054151484693,K3Nd1O8P2
mp-17583,-2.9852818019444434,Gd2O6Te1
mp-18019,-2.9934633843418372,K3O8P2Sm1
mp-18169,-2.9838813771410977,Eu1O4P1Rb1
mp-19420,-2.9966008037500003,Mg1O6Sr2W1
mp-18954,-2.9969139589420006,Mn1O3Sc1
mp-640515,-2.9879091665000006,Li1O6Si2V1
mp-19200,-2.986410164128789,Mo2O7Tb2
mp-19616,-2.9807841072499985,Fe1Li1Na2O15Si6
mp-20222,-2.998925060083335,In1Nb1O6Sr2
mp-21567,-2.99769066125,Al3O8Pb2Sm1
mp-21618,-2.9916861691071426,Al3Nd1O8Pb2
mp-21706,-2.992682374642858,Al3Gd1O8Pb2
mp-22705,-2.9931548202500005,Ba1O3Pr1
mp-23063,-2.98315179461909,Ba4Cl6O1
mp-25711,-2.9838378135714287,La2Ni1O4
mp-27439,-2.986214550416668,I1O1Tm1
mp-559939,-2.9981162565873016,Ba1O6P2
mp-27862,-2.9981908381818183,O8Ta2U1
mp-29104,-2.9930845609615377,O8Ti3Zn2
mp-2931,-2.9955724409027784,Li2O3Ti1
mp-30192,-2.99278229734375,O4Pr4Se3
mp-3368,-2.9962468004166665,Li1Nb3O8
mp-38280,-2.992116306041667,Li1O2Ti1
mp-39140,-2.982920883327917,Al3H1Na4O13Si3
mp-4158,-2.9892784985714282,Cu1Nd2O4
mp-504607,-2.9952519027500006,In1O3Y1
mp-504922,-2.9812630562499987,O4Pb1U1
mp-505253,-2.9858077415833333,O11U2V2
mp-5207,-2.9922196127060436,O9P3Sc1
mp-5322,-2.984912277613637,Ir1O7Pr3
mp-540996,-2.989757586614584,B1Ge1Nd1O5
mp-552177,-2.992547642798296,Ce4O4Se3
mp-553896,-2.983202568114,F6K3Mo1
mp-554033,-2.98324239125,Na6O19Si8
mp-554056,-2.9904128829166665,B5Br1Ca2O9
mp-8070,-2.9941541549999995,Be1Li2O4Si1
mp-554218,-2.9937001934149667,O24P6Pb1Ti4
mp-554286,-2.9839679267658736,La6O5S8Ti2
mp-555223,-2.9958169005404733,Cs2F5Mn1
mp-6390,-2.995214691104798,O20P5Rb3Ti3
mp-555620,-2.9892116340235573,Ba1Nb7O33P6
mp-556013,-2.981366314015152,Be1Na2O6Si2
mp-556198,-2.9956888230208345,Na2O7Si3
mp-556258,-2.997020037666666,Al1Be1Na3O8Si2
mp-556525,-2.988530694583332,Ba1Nd2O5Pt1
mp-560902,-2.9873313444466665,F2Mn1
mp-557027,-2.982621020341512,Be2O7Rb2Si2
mp-558050,-2.996805414378965,F6Mn1Na1Rb2
mp-558102,-2.9985433621388884,K1Li1O5Si2
mp-558272,-2.9962505052876987,Na3O11P3Th1
mp-558358,-2.9860400151470583,B6Ca1O10
mp-559284,-2.9876284367517685,Al2B2O7Rb2
mp-560146,-2.9854676912867655,Ba17O57Pt4Y16Zn8
mp-560239,-2.9981723666036864,K3O20P5Ti3
mp-560242,-2.9915048409060003,F3Mn1Na1
mp-560263,-2.9973310365400545,F6O10Pr4Se3
mp-561067,-2.9961814205829653,F6Fe1K1Rb2
mp-562747,-2.9966003031597217,Fe2O7Sr1Tb2
mp-565517,-2.9816427962489467,F1Mo1Nb15O40
mp-565881,-2.980808788360804,F3O1Rb1V1
mp-566555,-2.9807424545,Li3Nd3O12W2
mp-5680,-2.98944386186508,Ca1O6P2
mp-5965,-2.9841468797500013,Ga5O12Tb3
mp-625147,-2.982965821530001,Gd1H1O2
mp-626724,-2.99386589778,H1La1O2
mp-647442,-2.985415833321176,K1Mn1Na1O10Si4
mp-650928,-2.9816595987155186,K3Nb7O19
mp-6696,-2.985437515566416,K2O12P3Ti2
mp-6759,-2.9938728132692303,Ba1Ga2O8Si2
mp-676572,-2.987060648652273,F15Nd1Pb6
mp-694947,-2.9913200549299983,F8La3Mn8O16Sr5
mp-695000,-2.9898424936250003,Li1Mg6O24Sc1Si8
mp-695252,-2.9807421402678567,Cu5La14O32Sr2Zn3
mp-766108,-2.9970912913510097,Ba3Li1O21Sb3Ti5
mp-698577,-2.983692440596552,La6Mn5O18
mp-698628,-2.9966595147876918,La8Mn7O24
mp-704600,-2.9902663844578843,Li1Mn1O24P6Ti4
mp-706238,-2.9983732573745177,Fe1Na3O24P6Zr3
mp-707376,-2.9909470154901965,Na1Nb14O36
mp-743592,-2.9982395819166667,Al1Fe1Mg11O36Si11
mp-743675,-2.983216129294799,Ca2Fe2H1O15Si5
mp-744380,-2.994019323048533,Ca9La1Mn6O30Ti4
mp-753173,-2.9829034304166675,Ho1I1O1
mp-754138,-2.9809776884267234,Cs1Dy1O2
mp-754154,-2.9919913421767244,Cs1Ho1O2
mp-754826,-2.9924618934267233,Cs1O2Sc1
mp-755713,-2.9983141468333345,O2Sb1Tb2
mp-756040,-2.9907006392857163,Gd2Hg1O4
mp-757758,-2.9982521989387765,Li1Nb1O24P6Ti3
mp-759686,-2.98030194693,Al1Be1H1O5Si1
mp-765230,-2.9902393083033334,F3Li1O1V1
mp-765348,-2.9818996336306247,F11V5
mp-765440,-2.9818407963687483,F5Li1V2
mp-766739,-2.9968331889028565,F3Li2O1V1
mp-765916,-2.9912171380729173,Co1O5Ti2
mp-765966,-2.9889896146425,F6Li1V1
mp-766144,-2.9816838515505264,F9Li3O3V4
mp-767324,-2.9902401261538465,Li1O8Si3V1
mp-767432,-2.9867366334318186,O31Sr16V8
mp-770600,-2.9876030725000016,Dy1O4W1
mp-772157,-2.990447597976192,Li4Nb3O16Ti5
mp-772185,-2.980977463916666,Hf2Li6O7
mp-772900,-2.9945460944444457,O6Sm2Te1
mp-773081,-2.98423766625,Li3O16Ti6Zn3
mp-774246,-2.9869732746071427,Nb9O25V1
mp-774472,-2.9858505651041667,O1Pr1S1
mp-775735,-2.9882151538291666,C1Co1F5O3Sr2
mp-776840,-2.98384142205,F5Fe1Li3
mp-778808,-2.990440154782609,La3Li6Nb2O12
mp-779455,-2.9842934811805555,Li7O12Ti5
mp-781615,-2.983355948749999,Cr1Hf1O4
mp-782664,-2.9975131250799985,Mn1O8Ti3
mp-8042,-2.9820960058333332,Ge1O4Zr1
mp-8084,-2.990319407388696,F1Na1Nb6O15
mp-8109,-2.9973473029513884,B4Eu1O7
mp-849583,-2.9815213640144433,N1Nb2O5Y1
mp-8514,-2.9871471323611107,Ba1Nd2O5Pd1
mp-861468,-2.9899015898437504,Fe1Li1O10Si4
mp-865154,-2.9812083034090904,Fe1Li1O14Si6
mp-866313,-2.985973124036459,B3Ba3In1O9
mp-8672,-2.9887397049999995,La2O4Pd1
mp-868491,-2.991816455803334,F6Li1O2V3
mp-8874,-2.992160488809524,B1Li1O4Si1
mp-8960,-2.991803171590909,Ba3Na1Nb1O6
mp-977584,-2.9960032053505263,Ag2F14Zn1Zr2
mp-978099,-2.9852095791632656,Gd1K3O8P2
mp-984729,-2.983925451875,Ba1O4Sr3
mp-989568,-2.98547114945538,Cs2F6Mg1Na1
mvc-15840,-2.9976644568299995,Ca1F6Fe1
mvc-2427,-2.9838182169230767,Ca2Cu1O8Ta2
mvc-5168,-2.9910569829166653,Al1Ca2Fe1O5
mvc-7203,-2.9973365114351846,Ba1Cu1O5Ti1Y1
mvc-7604,-2.985375585681817,Ca1Co1O7Ta2
mp-559590,-2.9755015532118056,B1Ge1O5Pr1
mp-861906,-2.9790508953061225,Ba1Mg1Na2O8P2
mp-1019614,-2.9704028580647432,Cs3O8P2Y1
mp-1019718,-2.968093832056288,B3Be4Cs1O9
mp-1019806,-2.9675151699473683,K1Mg6O24P7
mp-1036311,-2.9713263008593747,Ca1Mg14O16Sr1
mp-1036412,-2.962275770078125,Ca1Mg14O16Zn1
mp-1036367,-2.9649867274218757,Ca1Cr1Mg14O16
mp-1036400,-2.9767068908893752,Ca1Mg14Mn1O16
mp-1036688,-2.973013098671875,Al1Ca1Mg14O16
mp-1036731,-2.969225431328125,Hf1Mg30O32V1
mp-1036735,-2.9676567247656247,Cd1Mg30O32V1
mp-1036839,-2.9630753453125,Mg30Ni1O32Sr1
mp-1036857,-2.9784189838281248,Co1Hf1Mg30O32
mp-1036988,-2.9655679429687503,Co1Cr1Mg30O32
mp-1036993,-2.9652434001562504,Co1Fe1Mg30O32
mp-1037017,-2.97331918921875,Co1Mg30O32Sr1
mp-1037092,-2.9673886054687504,Mg30Ni1O32V1
mp-1037086,-2.97564329,Co1Li1Mg30O32
mp-1037139,-2.9751327310156253,Cu1Hf1Mg30O32
mp-1037149,-2.9665022703125,Hf1Mg30O32Zn1
mp-1037188,-2.9767240965625006,Co1Mg30O32V1
mp-1037199,-2.9768326002604164,Mg30Ni1O32Ti1
mp-1037203,-2.968674831796875,Hf1Mg30O32Y1
mp-1037212,-2.977903936015625,Fe1Mg30O32Zn1
mp-1037287,-2.9626676628125,Cr1Cu1Mg30O32
mp-1037428,-2.9736052569531246,Cd1Mg30O32Y1
mp-1037499,-2.971363273046874,Fe1Hf1Mg30O32
mp-1037497,-2.9658093958593748,Co1Mg30O32Zn1
mp-1037573,-2.978067111796875,Cr1Mg30O32Zn1
mp-1037531,-2.9772669871875,Cr1Fe1Mg30O32
mp-1037549,-2.9639780854687503,Cu1Mg30O32V1
mp-1037624,-2.9669480559428885,Mg30O32Rb1Y1
mp-1037628,-2.969199922890625,Fe1Mg30Na1O32
mp-1037722,-2.9651981571093744,Al1Hf1Mg30O32
mp-1037789,-2.9677319960306248,Hf1Mg30Mn1O32
mp-1037825,-2.9634306908743744,Cd1Mg30Mn1O32
mp-1037834,-2.9646406950390625,Ca1Mg30O32Sn1
mp-1038016,-2.976091095273437,Ca1Mg30O32Si1
mp-1037998,-2.9748612697656247,Al1Cd1Mg30O32
mp-1038013,-2.9629984241796867,Ba1Ca1Mg30O32
mp-1038248,-2.9629969728274985,Mg30Mn1Ni1O32
mp-1038203,-2.9745550135991383,Al1Mg30O32Rb1
mp-1038287,-2.97337286673375,Co1Mg30Mn1O32
mp-1038596,-2.970550678671875,Cr1Hf1Mg30O32
mp-1038630,-2.9636161799218748,Cd1Mg30O32Sr1
mp-1098545,-2.9699555485156246,Hf1Mg30O32Sr1
mp-1039794,-2.967848472682292,B1Mg30Na1O32
mp-1039915,-2.979621786640625,Mg30Na1O32Si1
mp-1040044,-2.974397385456349,Hf1Li1Mg30O31
mp-1040082,-2.9793166635937496,Li1Mg30O32W1
mp-1040240,-2.9715120988749995,Ce1K1Mg30O32
mp-1040266,-2.96331622575,Cr1K1Mg30O32
mp-1040299,-2.978926912682292,Hf1Mg30O32Ti1
mp-1040321,-2.966594074401041,Cd1Mg30O32Ti1
mp-1040324,-2.9708912454375,K1La1Mg30O32
mp-1041140,-2.9688859713839286,Mg1O13P3Ti3
mp-1041529,-2.9711218696249997,Ca1O6Si2Sn1
mp-1042909,-2.96556136,Ca2Nb2O8Sn1
mp-1043652,-2.9672053271666656,O10Si4V1
mp-1043702,-2.9721262820312493,Ca1O10Si4W1
mp-1045769,-2.976081588346315,Ba2Cu1F14Mn2
mp-1047231,-2.970392627980769,O7Sr2V2Y2
mp-1047586,-2.9796998825184207,F15Sn3Y1
mp-1047872,-2.9665065211111115,Be3Mg1O12Si3Ti2
mp-1047922,-2.967532403833,Ba1Co1F7Zn1
mp-1048114,-2.9717771045366663,Ba1Cr1F7
mp-1068954,-2.9739528268333326,Bi1O2Tb2
mp-1076095,-2.963509519125,K5Na3Nb4O24Ta4
mp-1076134,-2.9778382965222203,Ca5Mn5O20Sr3Ti3
mp-1076183,-2.9627987555499984,Ca1Mn5O20Sr7Ti3
mp-1076664,-2.976340473310184,La7O20Sm1Ti1V7
mp-1099762,-2.9708091820777764,Ca3Mn5O20Sr5Ti3
mp-1100974,-2.9739528172321434,Bi2O9U3
mp-1101263,-2.9739061384166674,In1O3Tm1
mp-1101668,-2.9701077131249995,Ce1Na1O2
mp-1110570,-2.9724457902139996,F6Ga1Na3
mp-1110599,-2.962125906449632,Ag1F6Rb2Ti1
mp-1110644,-2.9794364712829653,F6Na1Rb2Ta1
mp-1110650,-2.9700750727829663,F6Li1Rb2Ta1
mp-1110656,-2.9655382322829658,Bi1F6Li1Rb2
mp-1110838,-2.9682488848140003,Bi1F6K2Li1
mp-1110976,-2.9631559954553794,Bi1Cs2F6Li1
mp-1111115,-2.9761226431140004,F6K3Nb1
mp-1112511,-2.9642596019898617,Cs2F6Rb1Ta1
mp-1113826,-2.9798412278174484,F6Nb1Rb3
mp-1113830,-2.9632596851507818,F6In1Rb3
mp-11189,-2.9688938240625005,Li2Mg1O4Si1
mp-1120731,-2.9627118399550003,F6Na1V1
mp-1157332,-2.9726442541250013,O12Si3V3Y2
mp-11613,-2.9679862603125007,Ba2Cu1O7Si2
mp-1173614,-2.9689748132650493,Mn19Nd20O60
mp-1173621,-2.9671700765954525,Mn20Nd20O59
mp-1176824,-2.96578973287877,F48Li9V8
mp-779806,-2.9751697966817146,F19Li5O5V6
mp-1178351,-2.9677042092500017,Eu1O3V1
mp-1183496,-2.9763131279166664,Ca2O5Pr2
mp-1184814,-2.9636004192500014,Eu3Ga1O6
mp-1184964,-2.96242863475,La1Mg1O3
mp-1186888,-2.9690594181939667,O3Pu1Rb1
mp-25051,-2.978560647941998,Mn1Nd1O3
mp-1193015,-2.968372053888128,Cs1F4O1V1
mp-1196267,-2.9652396420312512,Al1Be1O5Si1
mp-1196891,-2.97142012325,Al2Ca2O9Sn2
mp-704637,-2.970150720461956,Nb12O33W1
mp-761010,-2.9798190347202387,O7P2Ti1
mp-1202168,-2.9664561534821448,O13P3Th2
mp-1202819,-2.9737745620529616,B5H1O10Sr2
mp-1204561,-2.9699164493659422,O15Si4Sr3Ti1
mp-1205556,-2.9675573202500005,Ba2Nd1O6Re1
mp-1205629,-2.9672268975760687,Cs3F6Fe1
mp-1206332,-2.96731574725,La1O6Sb1Sr2
mp-1206526,-2.970982531428571,Co1Nd2O4
mp-1207114,-2.9756197963499997,K2Nb1O6Ta1
mp-1208442,-2.9683122133333333,Cd1O6Ta2
mp-1208690,-2.9775770759722224,Al1Cu1La1O5Sr1
mp-1208828,-2.964063854957143,F5Pb1V1
mp-1209112,-2.964555910972221,Be1Eu1O5Sr2
mp-1209375,-2.9728373703800135,Dy1O8P2Rb3
mp-1209402,-2.9745738128800143,Ho1O8P2Rb3
mp-1209633,-2.97404542699745,O12P3Rb2Ti2
mp-1209729,-2.970731208125001,O3Pu1V1
mp-1210420,-2.9749138910473336,F6In1Na3
mp-1210620,-2.9741577424279164,F1Lu1Se1
mp-1210758,-2.962649750484694,Na3O8P2Y1
mp-1210769,-2.9622087713775507,Na3O8P2Sm1
mp-1210870,-2.9751860893518507,La1Li2Nb6O18
mp-1210891,-2.9683541999531124,F2Mn3Na3O16Si4Ti2
mp-1210944,-2.966148098005149,Mg2O24P6Ti5
mp-1210985,-2.9764276299489785,La1Na3O8P2
mp-1211011,-2.9706432074192173,Na3O8P2Tb1
mp-1211019,-2.9726853791009527,H2Mg5Na3O24Si8
mp-1211075,-2.9700584556632648,Dy1Na3O8P2
mp-1211201,-2.9695019236989784,Ho1Na3O8P2
mp-1211481,-2.9704492984311224,Er1Na3O8P2
mp-1211547,-2.967127192458334,K2O3Th1
mp-1213714,-2.9685018791704736,Cs2F5Fe1
mp-1214131,-2.9751598038461533,Al3Ca2O8
mp-1214138,-2.962622705178572,Ca5O13V3
mp-1214222,-2.969581540625001,Al2Ca3Ge3O12
mp-1214313,-2.9663239973305267,Be3F12Tl2Zn2
mp-1214498,-2.972645113782052,Ca3Nd8O24Ru4
mp-1216171,-2.9717920773460014,Fe1Mn1O6Y2
mp-1216250,-2.9713788999278847,O3S5U1Y4
mp-1216763,-2.976179784083333,O3Ti1V1
mp-1217628,-2.9638394266670214,Mn5O72P18Ti12
mp-1217713,-2.967937170579696,Mn1O7Sb1Tb2
mp-1217779,-2.9793611828689985,Bi1F1O6Ta2
mp-1217806,-2.9705364328333337,Ga5Gd1O12Tb2
mp-1217838,-2.970842974351852,O6Sb1Ta1Ti1
mp-1218286,-2.969392052346,Cr2La3Mn2O12Sr1
mp-1218652,-2.9779722917261915,O13Sr5V3
mp-1218655,-2.974764134416666,Fe2O9Sr3U1
mp-1218782,-2.9661622568542856,La2Mn1O8Sr2Zn1
mp-1218914,-2.9626522335499987,Mg5Mo2O30Sr10W3
mp-1218935,-2.9791939651499986,Mg5Mo1O30Sr10W4
mp-554041,-2.9650019486217953,Al2B2Na2O7
mp-1222341,-2.9685859630555553,Li1O6Ta2
mp-1222575,-2.9704558845000006,In3Li4O24Sc1Si8
mp-1222663,-2.9632627317424243,Ca3Li4Nb6O20
mp-1222886,-2.970464477916667,Al2Li2O13Si4
mp-1222923,-2.969575230942,La1Mn4O12Pr3
mp-1223008,-2.9715449171428565,Cu1La4Ni1O8
mp-1223068,-2.973737315662381,Cl7Eu8Li7O16Si4
mp-1223256,-2.968703187833333,K1O6Ta2
mp-1223450,-2.977101759534799,B1K1O8P2Sr1
mp-1223539,-2.9788449296500006,Al1K1Mg3O12Si3
mp-1225344,-2.972467361337273,Dy2Mn1O7Sb1
mp-1225682,-2.977620801704545,Eu2Ga1Nb1O7
mp-1227142,-2.964692855714286,Ca1Fe1Nd1O4
mp-1227240,-2.9793607159615387,Ca1Nb4O8
mp-1227368,-2.96765631975,Ba1Mg1O6Sr1W1
mp-1227657,-2.9722309910574984,Ca3Mn1O4
mp-1227728,-2.976049546,Ba1O12Re2Sr3Yb2
mp-1228148,-2.9637353061663334,Ba1Cu1F7In1
mp-1228223,-2.9802294903571425,Ba5Ga4La3O16
mp-1228282,-2.977803790416667,Ba4Cu3Nd8O20Pt1
mp-1228941,-2.9675627169230765,Ag1Al1O8Si3
mp-1228982,-2.9665006315896547,Cs1F6Fe1Mn1
mp-13936,-2.9777692775000006,Gd1O6Re1Sr2
mp-13941,-2.9677486965000006,O6Re1Sr2Yb1
mp-15125,-2.9624410049094827,Cd1O12Rb2Si5
mp-15385,-2.971449986288265,Na2O9P2U1
mp-17035,-2.9673526405918373,K3O8P2Sc1
mp-17189,-2.963211214163265,Ce1K3O8P2
mp-17850,-2.9754507842916667,K3Na1O6Th2
mp-18271,-2.9660032765967923,Na5O13P1Si2Ti2
mp-18764,-2.9751283457500017,Ba2O6Sr1W1
mp-18894,-2.9765465675,Ca1Co1O6Si2
mp-18986,-2.9622092767500012,Ba2Mg1O6W1
mp-18990,-2.968805845521905,B6Ba2Mn1O12
mp-19082,-2.966543680275333,Mn1O3Ti1
mp-19116,-2.9686773060000005,Ca1Mo1O6Sr2
mp-19553,-2.973802126769,Al2Mn3O12Si3
mp-19581,-2.977184690625001,Cr2Mg3O12Si3
mp-19679,-2.968580120795455,Mo2O7Y2
mp-20620,-2.9744508380833343,Ba2In1Nb1O6
mp-20958,-2.9761748155000007,Ba2La1O6Re1
mp-22248,-2.9729841872500002,B3Eu1O6
mp-22621,-2.9653497088095238,Ag1La1O4Ti1
mp-545544,-2.96633215125,Ba2Bi1O6Ta1
mp-24950,-2.974767370458334,Ca1Fe3O12Ti4
mp-24953,-2.9653771362500003,Dy1Fe1O3
mp-24956,-2.9770719487500004,Er1Fe1O3
mp-24960,-2.9720552162500007,Fe1Ho1O3
mp-559154,-2.98013627002451,Bi2O11Ti4
mp-29201,-2.9736915184412127,Cd2F8Tb1
mp-31318,-2.9657622988888885,Nd2O6Te1
mp-31801,-2.9738834992857157,Al2Fe1O4
mp-40204,-2.9644775290200007,F5K1O1Tl2Zr1
mp-43188,-2.9694780746739133,Al4Be1Br2Na8O24Si7
mp-4394,-2.974660719886363,O7Pr2Sn2
mp-5299,-2.9698319817187486,La2O5Ru1
mp-5364,-2.966360783083334,B1O3Yb1
mp-540677,-2.962107177916668,Fe1O4U1
mp-541827,-2.975909878015555,Ba2F18Zn7
mp-5444,-2.9722427492499994,Ga5O12Y3
mp-553121,-2.9646435755000002,I1O2Sm2
mp-554371,-2.964318016281851,B1Ca1H1O5Si1
mp-555014,-2.9791238553249566,F5Mn1Rb2
mp-555378,-2.968569783329957,F5Fe1Rb2
mp-555568,-2.963221341970588,K2O10Si4Zn1
mp-556038,-2.9713595761559146,B9Ba3In1O18
mp-556232,-2.9717694920918363,Ca1Mg1Na2O8P2
mp-556250,-2.973721807817709,B5K1O9Sr1
mp-556393,-2.9681550472996947,B3Be4O9Rb1
mp-557012,-2.9629264321527784,B2Li3O6Sc1
mp-557420,-2.9633393270364583,B5Ba1K1O9
mp-558116,-2.9680500868699995,F4K1Mn1
mp-558834,-2.9737432392401955,B5Br1Eu2O9
mp-558854,-2.9652950796425004,F6Fe1Nb1
mp-559118,-2.9739177717077165,Cs1O8P2Ta1
mp-559569,-2.9744481194204457,N1O2Si1Y1
mp-559706,-2.9713371627777785,B2Gd1Li3O6
mp-559776,-2.965660098863637,La3Li5O12Ta2
mp-560088,-2.9639123633363798,Cs2F5Li3
mp-560311,-2.9679104727139998,F6Fe1Na3
mp-561486,-2.9793028299470894,Mg5Na2O16P4
mp-561514,-2.9651425507552087,B5Na1O9Sr1
mp-562394,-2.968440685688058,Cs4Li2O15Si6
mp-565256,-2.9680402443750014,Fe1Mg1O6Si2
mp-565283,-2.9786617030081524,Mn1O11P3Sr2
mp-565403,-2.971117648674603,Fe1O10P2Ti2
mp-567672,-2.9787219723137497,F4Na2O1V1
mp-573204,-2.9729011332553794,Bi1Cs2F6K1
mp-581217,-2.973477984112576,Cs2Nb4O11
mp-581427,-2.969570232386362,Eu3O7Re1
mp-5839,-2.9714304373015863,O4P1Ti1
mp-5843,-2.975731495975275,Ce1O9P3
mp-5867,-2.975014253757813,K3Nb8O21
mp-604909,-2.9687189292369998,C1Ca4H2O11Si2
mp-605786,-2.966425672500003,Br1Eu2O2
mp-608461,-2.9802546796508333,Cl2O1Pa1
mp-614750,-2.9636155783591533,Cr1Cs3F7
mp-6175,-2.976640958794642,Ba1Li2O7P2
mp-617871,-2.962252265737816,Cs1F4Mn1
mp-619127,-2.9774693470874327,Cs2F12K1Mn3
mp-623854,-2.976773724999997,Na1Nb3O8
mp-630852,-2.9800596017399283,Co1O8P2Sr2
mp-6499,-2.971191610486111,B1Ba1Li1O3
mp-6704,-2.975983110694445,Ba1Cu1Nd2O5
mp-677305,-2.9702616545887435,Li17O40Ti20
mp-683616,-2.9681991900782774,In1Li5O48P12Ti7
mp-684065,-2.972557212810079,B12O26Ti5
mp-686598,-2.9771193668232256,Ca8Cl2Mg1O16Si4
mp-690122,-2.97727905534091,Mo2Nd2O7
mp-761341,-2.9715259911111125,O4Ti1V1
mp-690987,-2.9674602225,Ag3Al10Na7O48Si14
mp-697313,-2.975810329906833,Al24Cd7O96Si24Tl10
mp-699648,-2.9790538855300004,Cr1F7Fe1Na2
mp-706617,-2.9635627865543754,Al1H1Na2O9Si3
mp-709021,-2.974958731188485,Ca1H2O6Ti2
mp-743769,-2.9735204938750015,Al4Fe1Mg5O24Si6
mp-743924,-2.970164843700001,Co1La5O16Re3
mp-754158,-2.9700699395,K1Nd1O2
mp-755253,-2.9665594193750007,Li1O2Zr1
mp-756645,-2.972150099375,Li5O8Ti3
mp-757450,-2.971274705795456,Ge2O7Sc2
mp-758138,-2.972305920340909,Cu8La16O31
mp-761317,-2.977257485486111,Li2O11Si4V1
mp-762836,-2.9722710898884,Li3Mn1O15Si6
mp-766714,-2.97611738795,Fe1Li3O15Si6
mp-762787,-2.9648241343330004,F7Li2V1
mp-775103,-2.9652157284037504,F9O3V4
mp-763616,-2.9777065319784213,La4Mn4O11
mp-763824,-2.968062235369048,Ba2Li1O9P2V1
mp-764333,-2.9654146272400017,F6O2V3
mp-764356,-2.9640767387157143,F4O1V2
mp-764423,-2.9687173906799997,Cr1F4Li2
mp-765055,-2.9646574122954545,F7Li2Mn2
mp-765452,-2.9709602362260004,F2Li1O1V1
mp-766905,-2.9732753154864704,F8Li2O3V4
mp-849326,-2.9667577954166666,Ag1O8Ta3
mp-773987,-2.9657006222448987,Fe5O32Ti12
mp-776515,-2.9697351367499984,Ce1Fe1O3
mp-776520,-2.976099376478697,Al1Li1Na1O12P3Ti1
mp-776523,-2.976329093189224,Al2Li3Na1O24P6Ti2
mp-850092,-2.9774853471085714,F4Fe1Li2
mp-778241,-2.96933268227077,F8Li2V3
mp-779116,-2.9631806051785707,Li2O8Sn1Ti3
mp-7972,-2.9626470532112066,La1O2Rb1
mp-7976,-2.9792220657112067,Gd1O2Rb1
mp-8470,-2.974130183125,Na1O2Pr1
mp-849246,-2.9640667374479177,Cd1O5Ti2
mp-849249,-2.975081512656251,Cr1Li1O10Si4
mp-850220,-2.9717795472619053,Bi1O14Si6
mp-8564,-2.9623009876066155,Cs1K2O8P2Sc1
mp-8615,-2.9709651361111127,B1Nb1O4
mp-867940,-2.971817302993294,O5Rb2U2
mp-867996,-2.973233000622079,O28P4Rb2U5
mp-868606,-2.9761713166911763,O11Si4V2
mp-8892,-2.9772237780155564,F4In1Li1
mp-9625,-2.965941772806122,Li1Mg1O4P1
mp-972066,-2.9620716867500008,Al1O3Zr1
mp-973585,-2.97546068875,I1Lu1O1
mp-9759,-2.9628332795833328,Ba1O5Pd1Pr2
mp-998227,-2.963999341350002,Hf1K1O3
mvc-14154,-2.97486220175,Mo1O3Y1
mvc-3961,-2.975914536916666,Ca2O6Sb1Ti1
mvc-4360,-2.96288759975,Mg2O6Ta1V1
mp-1019554,-2.9524537046614574,B5Ba1Na1O9
mp-1019708,-2.9560851413952167,Ba1Cs1Li1O7P2
