mpid,e_form (eV/atom),composition
mp-1100867,-4.186251858333332,O4Pa1Y1
mp-5900,-4.1825986142745455,Ba2F8Zr1
mp-673801,-4.182297836977692,Ca3F9Nd1
mp-1214503,-4.182107882635714,Ba3F10Zr1
mp-1029,-4.18138769746,Ba1F2
mp-675846,-4.1811655652079995,Ca5F14Th1
mp-29085,-4.180150062372666,F22Sr5Zr3
mp-5634,-4.177859281646668,F1Nd1O1
mp-36526,-4.176039798035556,Ac1F1O1
mp-1209872,-4.174152350399285,F11Nd1Zr2
mp-554610,-4.171601991292143,F11Pr1Zr2
mp-1025456,-4.1685304805799985,Ca1F6Zr1
mp-673677,-4.16620034580357,La2O9Th3
mp-531110,-4.164239971043333,Ca9F20Pr1
mp-1173297,-4.161680476249999,O4Pa1Sm1
mp-1215594,-4.1614875502675,F12Gd3Yb1
mp-37014,-4.1605417816666685,Gd1O4Pa1
mp-36734,-4.159030469166666,Ce1O4Th1
mp-1208602,-4.157532779642501,F6Sr1Zr1
mp-1203446,-4.156578086789334,Ca5F22Zr3
mp-1222782,-4.1543141358333315,La1O4Pa1
mp-1173352,-4.1524774220833365,O4Pa1Pm1
mp-8232,-4.1512544421425,Ba1F6Zr1
mp-31033,-4.1502561232853346,F4Hf1
mp-769173,-4.149095124146667,F1O1Pr1
mp-675813,-4.147419801160715,O9Sm2Th3
mp-1196169,-4.145836651742856,F5Li1Th1
mp-4661,-4.144176054979998,F1O1Sc1
mp-756428,-4.1439418581666665,La1O10Th4
mp-865194,-4.143477059642501,F3Tm1
mp-531792,-4.1427890160710525,F15Lu1Zr3
mp-675778,-4.141993568833,F7Na1Y2
mp-1221381,-4.141589537936154,F29Na3Th6Zn1
mp-1213767,-4.140477275577857,Ce1F11Zr2
mp-29978,-4.139045273436522,Al2F16Sr5
mp-1427,-4.138510385500001,Lu2O3
mp-772510,-4.138277219499999,O10Th4Y1
mp-752473,-4.136365133666667,O10Sm1Th4
mp-676867,-4.135481697999667,Ca2F7Ho1
mp-530429,-4.133962907649999,F15Y1Zr3
mp-1209866,-4.132358644755263,F15Nd1Zr3
mp-754176,-4.132355286102942,Ce3O11Th3
mp-531991,-4.130390098539837,F47La6Zr8
mp-972965,-4.1293460721425,F3Gd1
mp-1173377,-4.128766829583333,Nd1O4Pa1
mp-1226494,-4.1286305325,Ce1O4Pa1
mp-28781,-4.128166045939474,F15Pr1Zr3
mp-1207844,-4.126743009778571,F10Tl1Y3
mp-555507,-4.124717812447633,Al2Cl1F25Sr10
mp-530695,-4.123140419360527,F15Gd1Zr3
mp-18065,-4.1223920935830005,Al1Ba1Ca1F7
mp-676287,-4.1220477235775865,Ce6O19Th4
mp-556863,-4.117863297554615,Al1Ba3F9
mp-676023,-4.116319455135714,F10Na1Y3
mp-505400,-4.115726021684615,Ba1F10Zr2
mp-676801,-4.1135680544975,F31K7Th6
mp-29221,-4.109773260333,Al1Ca2F7
mp-1767,-4.108017971000001,O3Tm2
mp-1173423,-4.107177392589286,Nd2O9Th3
mp-676653,-4.106602180263158,Hf3Lu4O12
mp-1173356,-4.106093140000001,O4Pa1Pr1
mp-1217635,-4.103135415126252,F5O1S1Tb3
mp-753156,-4.101833737159091,La2O7Th2
mp-1225346,-4.10165704762625,Dy3F5O1S1
mp-1224058,-4.099859523126252,F5Ho3O1S1
mp-1212698,-4.0986875415175,Eu1F6Zr1
mp-561430,-4.09675794996,F4Li1Lu1
mp-755074,-4.093721720813334,Ce1F1O1
mp-3361,-4.0931821680458835,Al2Ba3F12
mp-504731,-4.0931258657933345,Eu1F2
mp-754058,-4.09207332080357,Ce3O9Th2
mp-1197073,-4.091860027133704,Al3Ba5F19
mp-1208679,-4.089068285096666,Al3F19Sr5
mp-1226807,-4.0868651641666665,Ce2O6Th1
mp-542001,-4.081785165618667,Ce1F4
mp-20402,-4.080385218157897,Lu6O12U1
mp-28439,-4.079634881133002,F7K1Sc2
mp-1219205,-4.075379386376252,F5O1S1Sm3
mp-679,-4.0735836415,Er2O3
mp-558769,-4.0723184750429535,F31Li4Na3Th6
mp-759386,-4.0686829135227285,Ce2O7Th2
mp-1202753,-4.068183965367409,F4K1Tm1
mp-759638,-4.067450009000002,O24Tm11Y5
mp-1200608,-4.066702507278571,Al1F5Sr1
mp-1199949,-4.066580820524699,B2F9O6Tm5
mp-1219240,-4.066580109166665,O4Pa1Sc1
mp-4376,-4.064777319421428,Al1Ba1F5
mp-540862,-4.063641940208,Al2Ba2Ca1F14Mg1
mp-1216106,-4.06351408212625,F5O1S1Y3
mp-1210006,-4.06334020996,F8Li1Na1Tm2
mp-686701,-4.060572147595002,F5Nd3O2
mp-1209991,-4.0593927220433335,F8Li1Lu2Na1
mp-3700,-4.0589653607933345,F4Li1Y1
mp-12533,-4.057773820340909,Hf2La2O7
mp-1199169,-4.0574352562065155,B2Er5F9O6
mp-1203766,-4.0566173482519705,B2F9Ho5O6
mp-8836,-4.055879896207143,Al1Ca1F5
mp-1201270,-4.05542141796,Er1F4K1
mp-1220289,-4.0553013698762514,F5Nd3O1S1
mp-1202279,-4.052625690830371,F4Ho1K1
mp-1209986,-4.052191329126667,Er2F8Li1Na1
mp-753772,-4.052046990505715,F7Nd4O3
mp-812,-4.05202091525,Ho2O3
mp-676227,-4.051304356704546,Nd2O7Th2
mp-1210003,-4.04859388996,F8Ho2Li1Na1
mp-2364,-4.0481075975,O2Pa1
mp-1195980,-4.0474507542476665,F22Li2O1Th5
mp-676779,-4.0469243068330005,F7Ho2Na1
mp-1223447,-4.045002902126667,F4K1La1
mp-766256,-4.044385117,O3Tm1Y1
mp-1101415,-4.042448759736844,O12Sm4Th3
mp-13840,-4.0404151652500016,Ho3O6Sc1
mp-352,-4.039194866666667,Hf1O2
mp-1218713,-4.033697967460002,F6Pr1Sr2
mp-1224717,-4.03281261012625,F5Gd3O1S1
mp-3611,-4.032746083068182,Dy2Hf2O7
mp-554082,-4.030981247613639,Hf2Ho2O7
mp-766123,-4.0290865621666665,Ce4O10Th1
mp-561022,-4.028309953571112,F4Mg1Sr1
mp-557890,-4.028037453068183,Er2Hf2O7
mp-2345,-4.02676412875,Dy2O3
mp-760382,-4.025706922499999,O4Th1U1
mp-758033,-4.025439885562498,Ho19O48Y13
mp-28726,-4.024219784071112,F4K1Y1
mp-1105223,-4.024071907952002,F4Zr1
mp-774100,-4.022902282,Dy29O48Y3
mp-675749,-4.022763533935186,O17Sm6Th4
mp-766009,-4.0220645385000005,O24Tm5Y11
mp-772180,-4.021138917749998,Lu1O3Sc1
mp-558597,-4.019387079126666,F8Li1Na1Y2
mp-674459,-4.018637714126666,Er1F4Na1
mp-675798,-4.016851694126667,F4Ho1Na1
mp-35249,-4.01622204215909,Hf2O7Sm2
mp-561442,-4.015116572613636,Hf2O7Y2
mp-1190838,-4.014890347517471,F4La1Rb1
mp-753456,-4.014565718660712,Ce4O9Th1
mp-778151,-4.014385974749998,Er1Lu1O3
mp-766279,-4.013959751749998,Dy11O24Y5
mp-17697,-4.013201012543333,F4K1Sm1
mp-770472,-4.01286584825,Ho1Lu1O3
mp-1179390,-4.01284099756653,F32Rb7Th6
mp-1025460,-4.0113823446425005,F6Mg1Zr1
mp-14568,-4.010526376626667,Ba1F4Mg1
mp-1220826,-4.010142596071112,F4La1Na1
mp-561256,-4.0083939350056665,Ba2F6O1Ti1
mp-1222825,-4.008345372894737,Lu4O12Zr3
mp-766258,-4.0076833267500005,O24Tm3Y13
mp-756469,-4.0073578377500025,Dy1Lu1O3
mp-1217355,-4.006106241666665,O8Th2U1Zr1
mp-755537,-4.005471886406249,Hf1O5Y2
mp-1190245,-4.004378577159091,Gd2Hf2O7
mp-754145,-4.003987202416669,Lu1O3Tb1
mp-1211343,-4.002347354626667,F4K1Nd1
mp-752458,-4.0019921185000005,Dy3O12Y5
mp-1056,-4.001968296333334,O3Tb2
mp-22220,-4.0019181157500014,La1Lu1O3
mp-766267,-4.000425828500002,O12Tm1Y7
mp-1190845,-3.999449791704545,Hf2Nd2O7
mp-555845,-3.9993991358726655,Ba1F11Li1Zr2
mp-23547,-3.998436057180952,Ba7Cl2F12
mp-765476,-3.998090238125001,Ho3O24Y13
mp-1198727,-3.998014915198096,Ba2F14Mg4Sr1
mp-8291,-3.9969395779758337,Ba1F6Ti1
mp-677391,-3.9967876005263165,O12Tm4Zr3
mp-757197,-3.99677270175,Dy1O6Y3
mp-555865,-3.996749379193061,Al6F34Na2Sr7
mp-1207696,-3.9964594627500007,O3Sc1Tm1
mp-1220915,-3.995497158154445,F4Na1Sm1
mp-27315,-3.9949710926633335,Ca1F6Ti1
mp-762307,-3.99448914175,Ho1O12Y7
mp-18040,-3.9943138933766655,F4K1Pr1
mp-766090,-3.9940365210526334,Hf3O12Sc4
mp-1202507,-3.9932854407607135,Al1Eu1F5
mp-757001,-3.993256630499999,O24Tm1Y15
mp-18549,-3.9926794166907698,Ba6F26Mg7
mp-532491,-3.9924244014657884,Eu1F15Zr3
mp-766292,-3.99154717975,Dy1O12Y7
mp-780387,-3.9901763027499997,Hf1O3Yb1
mp-754226,-3.98959541375,Lu1O3Y1
mp-34081,-3.98951805246,F4Na1Y1
mp-1212985,-3.9877529922500012,Er1O3Sc1
mp-2652,-3.98634957675,O3Y2
mp-676816,-3.9862894381381815,F8La2Pb1
mp-561234,-3.9860638275393336,Ba1F11Na1Zr2
mp-10103,-3.985118325793334,Al1F6Li1Yb1
mp-27698,-3.984967691315788,O12U1Y6
mp-31121,-3.98491214125,Ho1O3Sc1
mp-216,-3.98407076525,O3Sc2
mp-1178178,-3.9840456782500007,Ho1O3Tm1
mp-766236,-3.983555588,Er1Gd1O3
mp-17256,-3.9815234800677586,F12Hf3O1Rb2
mp-768234,-3.9809219910937497,Hf1La2O5
mp-1220999,-3.980356271765555,F4Na1Nd1
mp-675065,-3.980208610526316,Er4O12Zr3
mp-556702,-3.9799861697999983,Ba6Cl2Eu1F12
mp-1225774,-3.979539800225,Er2F10O1Th1
mp-31120,-3.97942636575,Dy1O3Sc1
mp-752435,-3.97920137375,Dy1O3Tm1
mp-757791,-3.978865497312501,O24Sm1Y15
mp-13374,-3.97633978225,La1O3Tm1
mp-756762,-3.9750985289166687,O3Tb1Tm1
mp-31119,-3.974563787416668,O3Sc1Tb1
mp-541162,-3.9744891214599996,Ba2F10Mg3
mp-1227064,-3.97427703808,Ca1F6U1
mp-287,-3.9722896516186665,F4U1
mp-676881,-3.970986738157893,Ho4O12Zr3
mp-766237,-3.9706409844999997,Gd3O24Y13
mp-1209225,-3.970284619600805,F4Nd1Rb1
mp-770415,-3.9696012450833336,Er1Ho1O3
mp-1101371,-3.9692921102500014,Lu1O3Sm1
mp-1219665,-3.968620510312501,O4Pa1Pu1
mp-1220948,-3.968503733293333,F4Na1Pr1
mp-772188,-3.9656594664166662,Dy1Er1O3
mp-769007,-3.965549673083333,O3Sc1Y1
mp-756424,-3.96528985425,Gd1Lu1O3
mp-31116,-3.964086471749998,La1O3Sc1
mp-1209185,-3.9632328104341377,F4Pr1Rb1
mp-30942,-3.962575493146274,Ba6F34Mg11
mp-1218962,-3.962574732318592,Al6F48O2Sr15
mp-554376,-3.9577298056843935,F6O9Si2Ti1Y4
mp-1041344,-3.957581517499667,Ba1Ca1F7Ti1
mp-1221034,-3.9574857049599985,F4Gd1Na1
mp-558164,-3.9574668975892857,Ca1Hf4O9
mp-27221,-3.9570628436000006,Ca2Hf7O16
mp-505619,-3.955974444354839,Ce11O20
mp-757331,-3.9550433895000014,Gd3O12Y5
mp-861109,-3.95429530925,O6Sm1Y3
mp-1223134,-3.9542182477499987,La3O12Sc4Y1
mp-673643,-3.9538183036734686,Ce17O32
mp-530883,-3.9533286160692764,Ce6O51Y26
mp-757149,-3.953094305799998,Hf7O16Sr2
mp-676820,-3.952995685991378,O19Tm2Zr8
mp-32613,-3.952551645089285,Ce5O9
mp-7538,-3.95239169325,Er1La1O3
mp-684627,-3.952249921081081,Ce13O24
mp-1222847,-3.95221962175,La1O12Sc4Y3
mp-19992,-3.952095457631581,La6O12U1
mp-756742,-3.95177903925,Al1Lu3O6
mp-1226924,-3.951047009999999,Ce3O8U1
mp-754041,-3.95064688828125,Gd2Hf1O5
mp-1226869,-3.950128194166666,Ce4O10U1
mp-560732,-3.9500069318330007,Ba1F7Na1Zr1
mp-768145,-3.949266416416669,Dy1Ho1O3
mp-16915,-3.9492348560966666,Ba1F4O1Ti1
mp-756048,-3.9491066664166663,Er1O3Tb1
mp-1223425,-3.9488604928530258,F8La6O2S3
mp-12431,-3.948235304543333,Ba1Be1F4
mp-531564,-3.947810237955884,Ce10O53Y22
mp-1214422,-3.947796355597143,Ba7Br1Cl1F12
mp-1226776,-3.947701838611111,Ce2O6U1
mp-1209937,-3.9462402227500006,Lu1Nd1O3
mp-760098,-3.9460845653508763,O12U2Y5
mp-675012,-3.945632271163793,Ho2O19Zr8
mp-20194,-3.945073410833331,Ce1O2
mp-770372,-3.944941916666668,Ce1Hf1O4
mp-8033,-3.9430696838612502,F3Pu1
mp-776439,-3.942047499250001,O3Sm1Tm1
mp-1216160,-3.9416437350000013,O12Y4Zr3
mp-675835,-3.9415689132327576,Dy2O19Zr8
mp-9726,-3.9399452528766665,Be1F4Sr1
mp-860969,-3.9394382823750003,O12Sm3Y5
mp-756030,-3.9380073137499987,Gd1O3Tm1
mp-756309,-3.9380066922321433,Ce4Dy1O9
mp-31118,-3.937726763749999,O3Sc1Sm1
mp-758094,-3.9370670547282582,Ce6O15Y2
mp-676646,-3.936915022772988,O19Tb2Zr8
mp-1214066,-3.9359408785666665,Ag1Ca3F20Hf3
mp-756166,-3.93544517975,Ho1La1O3
mp-1228037,-3.9346139278142855,Ba1Ca1Dy2F10
mp-752459,-3.93438260575,Gd5O12Y3
mp-531963,-3.934301424353449,Ce14O55Y18
mp-771031,-3.933767363177082,Lu2O5Ti1
mp-28778,-3.933679030043333,F4K1Sc1
mp-558489,-3.933621522753623,Ca6Hf19O44
mp-755109,-3.9328122482500016,Er1O3Y1
mp-5690,-3.9321179747499984,Gd1O3Sc1
mp-752579,-3.9320627784895823,O5Ti1Tm2
mp-21872,-3.9314966982499997,Lu1O3Pr1
